name;durantion_ms;explicit;added_at;album;release_date;artist_id;audio_features.danceability;audio_features.energy;audio_features.key;audio_features.loudness;audio_features.mode;audio_features.speechiness;audio_features.acousticness;audio_features.instrumentalness;audio_features.liveness;audio_features.valence;audio_features.tempo;audio_features.type;audio_features.id;audio_features.uri;audio_features.track_href;audio_features.analysis_url;audio_features.duration_ms;audio_features.time_signature;audio_features.error.status;audio_features.error.message
I Love You (Sweetheart of All My Dreams);6.74;False;2020-02-27T03:20:51Z;Monk. (Expanded Edition);1965;4PDpGtF16XpqvXxsrFwQnN;0.595;0.204;5.0;-16.386;1.0;0.0629;0.976;0.924;0.0989;0.182;110.478;audio_features;5JtxaESw93QLRKGfzVlu69;spotify:track:5JtxaESw93QLRKGfzVlu69;https://api.spotify.com/v1/tracks/5JtxaESw93QLRKGfzVlu69;https://api.spotify.com/v1/audio-analysis/5JtxaESw93QLRKGfzVlu69;404400.0;4.0;;
Moanin' - Mono Audio;7.97725;False;2020-02-27T03:19:33Z;Blues & Roots (Mono);1960-03;1W8TbFzNS15VwsempfY12H;0.507;0.449;5.0;-11.073;0.0;0.055;0.358;2.28e-06;0.108;0.598;110.491;audio_features;59aGnj6McylSp6DP4L05sn;spotify:track:59aGnj6McylSp6DP4L05sn;https://api.spotify.com/v1/tracks/59aGnj6McylSp6DP4L05sn;https://api.spotify.com/v1/audio-analysis/59aGnj6McylSp6DP4L05sn;478636.0;4.0;;
Track A- Solo Dancer;6.64555;False;2020-02-27T03:19:23Z;The Black Saint And The Sinner Lady;1963;1W8TbFzNS15VwsempfY12H;0.177;0.622;5.0;-8.565;0.0;0.058;0.0253;3.55e-05;0.0419;0.431;204.322;audio_features;3XvcgEkQfjasB5NnY8P4QA;spotify:track:3XvcgEkQfjasB5NnY8P4QA;https://api.spotify.com/v1/tracks/3XvcgEkQfjasB5NnY8P4QA;https://api.spotify.com/v1/audio-analysis/3XvcgEkQfjasB5NnY8P4QA;398733.0;3.0;;
Hora Decubitus;4.719333333333333;False;2020-02-27T03:19:08Z;Mingus Mingus Mingus Mingus Mingus;1963;1W8TbFzNS15VwsempfY12H;0.391;0.732;1.0;-7.777;1.0;0.0702;0.34;0.175;0.0983;0.752;116.675;audio_features;6evehXa14Rvbt355gFnMdH;spotify:track:6evehXa14Rvbt355gFnMdH;https://api.spotify.com/v1/tracks/6evehXa14Rvbt355gFnMdH;https://api.spotify.com/v1/audio-analysis/6evehXa14Rvbt355gFnMdH;283160.0;4.0;;
Goodbye Pork Pie Hat;5.706216666666666;False;2020-02-27T03:18:59Z;Ah Um;1959;1W8TbFzNS15VwsempfY12H;0.356;0.0937;8.0;-16.64;0.0;0.0353;0.957;0.096;0.209;0.278;86.669;audio_features;3PJMsxg6rz9FOo6xNiASXz;spotify:track:3PJMsxg6rz9FOo6xNiASXz;https://api.spotify.com/v1/tracks/3PJMsxg6rz9FOo6xNiASXz;https://api.spotify.com/v1/audio-analysis/3PJMsxg6rz9FOo6xNiASXz;342373.0;3.0;;
Some Other Time;4.706666666666667;False;2020-02-27T03:18:34Z;The Tony Bennett / Bill Evans Album;1975-06-13;2lolQgalUvZDfp5vvVtTYV,4jXfFzeP66Zy67HM2mvIIF;0.387;0.0821;0.0;-16.533;1.0;0.0457;0.972;0.000854;0.0818;0.111;78.973;audio_features;7wuNnS40gfC3vF6NLoATqu;spotify:track:7wuNnS40gfC3vF6NLoATqu;https://api.spotify.com/v1/tracks/7wuNnS40gfC3vF6NLoATqu;https://api.spotify.com/v1/audio-analysis/7wuNnS40gfC3vF6NLoATqu;282400.0;3.0;;
Luz Negra;2.574666666666667;False;2020-02-27T03:17:49Z;Um Violão Na Madrugada;1961-04-03;0VSgciOd32tP2Yna1w4vDr;0.649;0.581;0.0;-10.331;1.0;0.0336;0.503;0.878;0.0718;0.761;108.666;audio_features;4s3UvkCsaT5aUlkA05Un0U;spotify:track:4s3UvkCsaT5aUlkA05Un0U;https://api.spotify.com/v1/tracks/4s3UvkCsaT5aUlkA05Un0U;https://api.spotify.com/v1/audio-analysis/4s3UvkCsaT5aUlkA05Un0U;154480.0;4.0;;
Pois É;1.7457666666666667;False;2020-02-27T03:17:34Z;Elis & Tom;1974-06-17;0yFvXd36g5sNKYDi0Kkvl8,3pO5VjZ4wOHCMBXOvbMISG;0.57;0.101;10.0;-17.795;0.0;0.0421;0.932;0.000561;0.106;0.184;81.303;audio_features;7Frd1uhTyz0d6yIWy45GA5;spotify:track:7Frd1uhTyz0d6yIWy45GA5;https://api.spotify.com/v1/tracks/7Frd1uhTyz0d6yIWy45GA5;https://api.spotify.com/v1/audio-analysis/7Frd1uhTyz0d6yIWy45GA5;104746.0;4.0;;
Por Causa De Voce;2.9162166666666667;False;2020-02-27T03:17:26Z;Solitude On Guitar;1971-02-27;0VSgciOd32tP2Yna1w4vDr;0.425;0.16;2.0;-19.283;1.0;0.0424;0.97;0.924;0.104;0.293;109.006;audio_features;7F33mR04D9RUC7EbmiVjxv;spotify:track:7F33mR04D9RUC7EbmiVjxv;https://api.spotify.com/v1/tracks/7F33mR04D9RUC7EbmiVjxv;https://api.spotify.com/v1/audio-analysis/7F33mR04D9RUC7EbmiVjxv;174973.0;4.0;;
Fotografia;2.8224833333333335;False;2020-02-27T03:16:39Z;Elis & Tom;1974-06-17;0yFvXd36g5sNKYDi0Kkvl8,3pO5VjZ4wOHCMBXOvbMISG;0.509;0.478;0.0;-14.575;1.0;0.0895;0.867;0.0291;0.109;0.302;96.66;audio_features;4O2tMlIxlgRwmNQDElwIq4;spotify:track:4O2tMlIxlgRwmNQDElwIq4;https://api.spotify.com/v1/tracks/4O2tMlIxlgRwmNQDElwIq4;https://api.spotify.com/v1/audio-analysis/4O2tMlIxlgRwmNQDElwIq4;169350.0;4.0;;
Ten Years Gone - 1990 Remaster;6.523333333333333;False;2020-02-27T03:15:29Z;Physical Graffiti (1994 Remaster);1975-02-24;36QJpDe2go2KgaRleHCDTp;0.544;0.4;2.0;-12.504;1.0;0.0439;0.526;0.0378;0.0716;0.264;76.982;audio_features;1NV6sCADgcLSW7DG7zSWlq;spotify:track:1NV6sCADgcLSW7DG7zSWlq;https://api.spotify.com/v1/tracks/1NV6sCADgcLSW7DG7zSWlq;https://api.spotify.com/v1/audio-analysis/1NV6sCADgcLSW7DG7zSWlq;391400.0;4.0;;
Over the Hills and Far Away - 2012 Remaster;4.848883333333333;False;2020-02-27T03:15:16Z;Houses of the Holy (2014 Remaster);1973-03-28;36QJpDe2go2KgaRleHCDTp;0.402;0.691;7.0;-10.274;1.0;0.0691;0.0679;0.133;0.0955;0.206;96.95;audio_features;2eDdFHgqNJltzlvlZFVDWd;spotify:track:2eDdFHgqNJltzlvlZFVDWd;https://api.spotify.com/v1/tracks/2eDdFHgqNJltzlvlZFVDWd;https://api.spotify.com/v1/audio-analysis/2eDdFHgqNJltzlvlZFVDWd;290934.0;4.0;;
22 (OVER S∞∞N);2.8;False;2020-02-27T03:12:24Z;22, A Million;2016-09-30;4LEiUm1SRbFMgfqnQTwUbQ;0.298;0.112;1.0;-15.765;1.0;0.0353;0.972;0.0823;0.0935;0.0972;86.786;audio_features;5oK98mpTJSU0iqLHN1hZ3y;spotify:track:5oK98mpTJSU0iqLHN1hZ3y;https://api.spotify.com/v1/tracks/5oK98mpTJSU0iqLHN1hZ3y;https://api.spotify.com/v1/audio-analysis/5oK98mpTJSU0iqLHN1hZ3y;168000.0;4.0;;
Jelmore;2.501333333333333;False;2020-02-27T03:08:41Z;i,i;2019-08-09;4LEiUm1SRbFMgfqnQTwUbQ;0.323;0.242;8.0;-10.955;1.0;0.073;0.979;0.00675;0.0911;0.261;80.509;audio_features;0v3PdoLZrm0RVfS8sHnADp;spotify:track:0v3PdoLZrm0RVfS8sHnADp;https://api.spotify.com/v1/tracks/0v3PdoLZrm0RVfS8sHnADp;https://api.spotify.com/v1/audio-analysis/0v3PdoLZrm0RVfS8sHnADp;150080.0;3.0;;
Hey, Ma;3.6117666666666666;False;2020-02-27T03:08:30Z;i,i;2019-08-09;4LEiUm1SRbFMgfqnQTwUbQ;0.411;0.285;0.0;-10.97;1.0;0.0306;0.872;0.000354;0.0993;0.213;72.139;audio_features;0d6bZwEAi1XblGRhnzPfgC;spotify:track:0d6bZwEAi1XblGRhnzPfgC;https://api.spotify.com/v1/tracks/0d6bZwEAi1XblGRhnzPfgC;https://api.spotify.com/v1/audio-analysis/0d6bZwEAi1XblGRhnzPfgC;216707.0;4.0;;
As I Roved Out;3.7328833333333336;False;2020-02-27T03:08:17Z;Bright Sunny South;2013;6TTJ0xLPPNDyv4bXyukzU4;0.645;0.712;6.0;-10.218;1.0;0.0357;0.502;0.662;0.102;0.313;109.078;audio_features;5mtje2p2GkzzTecWnPi5kt;spotify:track:5mtje2p2GkzzTecWnPi5kt;https://api.spotify.com/v1/tracks/5mtje2p2GkzzTecWnPi5kt;https://api.spotify.com/v1/audio-analysis/5mtje2p2GkzzTecWnPi5kt;223973.0;4.0;;
Sparkle;3.840883333333333;False;2020-02-27T03:06:48Z;Faces;1980-10-14;4QQgXkCYTt3BlENzhyNETg;0.67;0.674;5.0;-11.602;1.0;0.0464;0.432;0.0;0.0635;0.678;115.439;audio_features;4Yj6GyY8kjgsSRSFYWYOCf;spotify:track:4Yj6GyY8kjgsSRSFYWYOCf;https://api.spotify.com/v1/tracks/4Yj6GyY8kjgsSRSFYWYOCf;https://api.spotify.com/v1/audio-analysis/4Yj6GyY8kjgsSRSFYWYOCf;230453.0;4.0;;
You;5.50755;False;2020-02-27T03:06:43Z;Faces;1980-10-14;4QQgXkCYTt3BlENzhyNETg;0.43;0.5;11.0;-11.699;0.0;0.0399;0.454;4.81e-05;0.0518;0.52;141.778;audio_features;11K28OJ3p5Rl91VsVvd3nd;spotify:track:11K28OJ3p5Rl91VsVvd3nd;https://api.spotify.com/v1/tracks/11K28OJ3p5Rl91VsVvd3nd;https://api.spotify.com/v1/audio-analysis/11K28OJ3p5Rl91VsVvd3nd;330453.0;4.0;;
I'll Write a Song for You;5.39155;False;2020-02-27T03:04:28Z;All 'N All;1977-11-21;4QQgXkCYTt3BlENzhyNETg;0.293;0.514;9.0;-12.081;1.0;0.0552;0.672;0.00027;0.0841;0.355;154.217;audio_features;5RMTMx6CQ5g8ZoYTnh9dkB;spotify:track:5RMTMx6CQ5g8ZoYTnh9dkB;https://api.spotify.com/v1/tracks/5RMTMx6CQ5g8ZoYTnh9dkB;https://api.spotify.com/v1/audio-analysis/5RMTMx6CQ5g8ZoYTnh9dkB;323493.0;4.0;;
Romain;5.39555;False;2020-02-26T19:47:32Z;Undercurrent;1962;4jXfFzeP66Zy67HM2mvIIF,5pMmqpG3HsoJ6EDDoXGXEr;0.4;0.0428;0.0;-24.341;0.0;0.0479;0.995;0.948;0.106;0.151;90.708;audio_features;5oq7NF2AjuMbfDMWdmFSbE;spotify:track:5oq7NF2AjuMbfDMWdmFSbE;https://api.spotify.com/v1/tracks/5oq7NF2AjuMbfDMWdmFSbE;https://api.spotify.com/v1/audio-analysis/5oq7NF2AjuMbfDMWdmFSbE;323733.0;4.0;;
This Christmas;3.852883333333333;False;2020-02-26T19:47:01Z;Donny Hathaway;1971;0HU0U9kdXEHZVxUNbuQe8S;0.634;0.645;5.0;-9.2;1.0;0.0376;0.292;0.0;0.246;0.677;93.05;audio_features;7MSYSOobsombc1mbDWFxtD;spotify:track:7MSYSOobsombc1mbDWFxtD;https://api.spotify.com/v1/tracks/7MSYSOobsombc1mbDWFxtD;https://api.spotify.com/v1/audio-analysis/7MSYSOobsombc1mbDWFxtD;231173.0;4.0;;
You've Got a Friend;3.39555;False;2020-02-26T19:46:34Z;A Donny Hathaway Collection;1990-04-03;0W498bDDNlJIrYMKXdpLHA,0HU0U9kdXEHZVxUNbuQe8S;0.397;0.424;1.0;-9.179;1.0;0.037;0.678;0.0;0.17;0.411;87.36;audio_features;3zlLG1ZplOevRjsoUxChrs;spotify:track:3zlLG1ZplOevRjsoUxChrs;https://api.spotify.com/v1/tracks/3zlLG1ZplOevRjsoUxChrs;https://api.spotify.com/v1/audio-analysis/3zlLG1ZplOevRjsoUxChrs;203733.0;4.0;;
Freedom Is A Voice;4.9;False;2020-02-26T19:28:41Z;Bang! Zoom;1995-01-01;2FjkZT851ez950cyPjeYid;0.639;0.317;7.0;-14.972;0.0;0.0393;0.792;0.0637;0.11;0.462;83.98;audio_features;4LOiXrVtjEMeINcYs3Sqy7;spotify:track:4LOiXrVtjEMeINcYs3Sqy7;https://api.spotify.com/v1/tracks/4LOiXrVtjEMeINcYs3Sqy7;https://api.spotify.com/v1/audio-analysis/4LOiXrVtjEMeINcYs3Sqy7;294000.0;4.0;;
Maggot Brain;10.351766666666666;False;2020-02-23T16:37:00Z;Maggot Brain;1971-07-12;450o9jw6AtiQlQkHCdH6Ru;0.3;0.353;4.0;-15.588;0.0;0.047;0.777;0.478;0.406;0.19;134.912;audio_features;2t5GyUfFoZg3E8ak3i7dVP;spotify:track:2t5GyUfFoZg3E8ak3i7dVP;https://api.spotify.com/v1/tracks/2t5GyUfFoZg3E8ak3i7dVP;https://api.spotify.com/v1/audio-analysis/2t5GyUfFoZg3E8ak3i7dVP;621107.0;3.0;;
Pyramid Song;4.812216666666667;False;2020-02-21T18:25:34Z;Amnesiac;2001-03-12;4Z8W4fKeB5YxbusRsdQVPb;0.127;0.335;11.0;-8.298;0.0;0.0329;0.786;0.427;0.111;0.0686;77.078;audio_features;3A9vIxzGBjEfqmDK7H9exS;spotify:track:3A9vIxzGBjEfqmDK7H9exS;https://api.spotify.com/v1/tracks/3A9vIxzGBjEfqmDK7H9exS;https://api.spotify.com/v1/audio-analysis/3A9vIxzGBjEfqmDK7H9exS;288733.0;4.0;;
Nebaluyo (feat. Oumou Sangaré);5.292883333333333;False;2020-02-18T22:23:53Z;Djesse Vol. 2;2019-07-19;0QWrMNukfcVOmgEU0FEDyD,65CKKZilbcSKkAPC9a5Mvh;0.585;0.702;1.0;-8.22;1.0;0.338;0.391;0.000133;0.418;0.483;92.959;audio_features;2kP72xV4t4LTcuGUqheQkH;spotify:track:2kP72xV4t4LTcuGUqheQkH;https://api.spotify.com/v1/tracks/2kP72xV4t4LTcuGUqheQkH;https://api.spotify.com/v1/audio-analysis/2kP72xV4t4LTcuGUqheQkH;317573.0;4.0;;
Seduzir;3.5871;False;2020-02-13T03:27:04Z;Seduzir;1980-02-01;5rrmaoBXZ7Jcs4Qb77j0YA;0.439;0.661;10.0;-11.215;1.0;0.0526;0.703;2.33e-06;0.092;0.602;150.393;audio_features;6VLFqEgYAAEBKUnz7hTIhr;spotify:track:6VLFqEgYAAEBKUnz7hTIhr;https://api.spotify.com/v1/tracks/6VLFqEgYAAEBKUnz7hTIhr;https://api.spotify.com/v1/audio-analysis/6VLFqEgYAAEBKUnz7hTIhr;215227.0;3.0;;
Bachianas Brasileiras No. 5;5.961333333333333;False;2020-02-13T03:25:00Z;Alegría;2003-01-01;0ZqhrTXYPA9DZR527ZnFdO;0.547;0.165;2.0;-17.773;1.0;0.0391;0.812;0.602;0.0886;0.434;104.533;audio_features;3vVv9bCd1uygMhlSSJW1qV;spotify:track:3vVv9bCd1uygMhlSSJW1qV;https://api.spotify.com/v1/tracks/3vVv9bCd1uygMhlSSJW1qV;https://api.spotify.com/v1/audio-analysis/3vVv9bCd1uygMhlSSJW1qV;357680.0;4.0;;
Ligia;4.2711;False;2020-02-13T03:23:16Z;Urubu;1976-03-01;3pO5VjZ4wOHCMBXOvbMISG;0.283;0.381;11.0;-14.401;1.0;0.0335;0.703;0.00475;0.0894;0.142;125.409;audio_features;374rP3oqQf1Qld2H8pH5fv;spotify:track:374rP3oqQf1Qld2H8pH5fv;https://api.spotify.com/v1/tracks/374rP3oqQf1Qld2H8pH5fv;https://api.spotify.com/v1/audio-analysis/374rP3oqQf1Qld2H8pH5fv;256267.0;4.0;;
I've Seen All Good People: a. Your Move, b. All Good People;6.934;False;2020-02-13T02:43:40Z;The Studio Albums 1969-1987;1997;7AC976RDJzL2asmZuz7qil;0.34;0.479;4.0;-9.436;1.0;0.085;0.0376;5.78e-06;0.13;0.497;76.032;audio_features;3MbCMY9lZo7tTrILoNUfJZ;spotify:track:3MbCMY9lZo7tTrILoNUfJZ;https://api.spotify.com/v1/tracks/3MbCMY9lZo7tTrILoNUfJZ;https://api.spotify.com/v1/audio-analysis/3MbCMY9lZo7tTrILoNUfJZ;416040.0;4.0;;
A Story Within the Story;8.02955;False;2020-02-10T20:09:21Z;Imaginary Day;1997-01-01;4uBSazM6snEc9wCG3jMlYt;0.528;0.42;0.0;-12.089;0.0;0.0267;0.82;0.0396;0.122;0.389;132.632;audio_features;1K4MkhkSklswywK0MouxCP;spotify:track:1K4MkhkSklswywK0MouxCP;https://api.spotify.com/v1/tracks/1K4MkhkSklswywK0MouxCP;https://api.spotify.com/v1/audio-analysis/1K4MkhkSklswywK0MouxCP;481773.0;4.0;;
Stray Voltage;4.89735;False;2020-02-06T22:53:38Z;Quartet;2018-05-15;6GcgRheAQRGpkEhsg5nG6m;0.24;0.275;11.0;-15.566;1.0;0.0375;0.94;0.838;0.084;0.0706;85.062;audio_features;1LrxHqHlrvcnptLDbg7ZVv;spotify:track:1LrxHqHlrvcnptLDbg7ZVv;https://api.spotify.com/v1/tracks/1LrxHqHlrvcnptLDbg7ZVv;https://api.spotify.com/v1/audio-analysis/1LrxHqHlrvcnptLDbg7ZVv;293842.0;4.0;;
Pictures At An Exhibition: Promenade - The Gnome;3.9606666666666666;False;2020-02-02T15:07:59Z;Mussorgsky: Pictures at an Exhibition;1987-01-01;284mnx33IWcymQEpMxyfHl,4AcXapei4U7xnWecv9AEBd,0Ku5VBNL7cfGXRhp2BxXEQ;0.233;0.0616;7.0;-20.141;0.0;0.0323;0.917;0.815;0.644;0.105;87.409;audio_features;36CTxO7KFiqm6xbQc5z4Jd;spotify:track:36CTxO7KFiqm6xbQc5z4Jd;https://api.spotify.com/v1/tracks/36CTxO7KFiqm6xbQc5z4Jd;https://api.spotify.com/v1/audio-analysis/36CTxO7KFiqm6xbQc5z4Jd;237640.0;4.0;;
Márquez: Danzón No.2;9.76155;False;2020-02-02T14:57:54Z;Maravillosas Danzas Clásicas Latinas;2016-03-07;6R2JGjQ4DM6iCPUAbhjnKZ,0cxXnDhpgxcMMkKddhORHY,2U5rLdZ4ARUFcaSYw0shXn;0.33;0.267;2.0;-19.607;0.0;0.0511;0.856;0.782;0.127;0.235;102.855;audio_features;2ibsyZr7hhXxaCFUORRv7g;spotify:track:2ibsyZr7hhXxaCFUORRv7g;https://api.spotify.com/v1/tracks/2ibsyZr7hhXxaCFUORRv7g;https://api.spotify.com/v1/audio-analysis/2ibsyZr7hhXxaCFUORRv7g;585693.0;4.0;;
Pernambuco;1.6893333333333334;False;2020-02-01T03:46:44Z;Solo in Rio 1959;2005-02-22;174ThXFgQg2VCq9r3m8ceb;0.713;0.0832;4.0;-23.894;0.0;0.0598;0.926;0.885;0.108;0.884;112.688;audio_features;2QWMlZTBznsuJKMUIKoz95;spotify:track:2QWMlZTBznsuJKMUIKoz95;https://api.spotify.com/v1/tracks/2QWMlZTBznsuJKMUIKoz95;https://api.spotify.com/v1/audio-analysis/2QWMlZTBznsuJKMUIKoz95;101360.0;4.0;;
Pela Luz dos Olhos Teus - Bonus Track;2.736;False;2020-02-01T03:43:50Z;Miucha & Tom Jobim Vol. 1;1977-07-15;24ZP6P1JgCo65CEJsk2OQ2,3pO5VjZ4wOHCMBXOvbMISG;0.453;0.277;9.0;-11.615;1.0;0.0592;0.876;0.0;0.118;0.779;116.832;audio_features;4SpqtLElDsO6KGbd4ub96Z;spotify:track:4SpqtLElDsO6KGbd4ub96Z;https://api.spotify.com/v1/tracks/4SpqtLElDsO6KGbd4ub96Z;https://api.spotify.com/v1/audio-analysis/4SpqtLElDsO6KGbd4ub96Z;164160.0;3.0;;
O Morro Nao Tem Vez;3.3311;False;2020-02-01T02:25:04Z;Antonio Carlos Jobim;1964-01-01;3pO5VjZ4wOHCMBXOvbMISG;0.654;0.315;7.0;-17.204;0.0;0.0427;0.45;0.791;0.0893;0.852;143.248;audio_features;57U0iv9L9gG6fqXXIle1GB;spotify:track:57U0iv9L9gG6fqXXIle1GB;https://api.spotify.com/v1/tracks/57U0iv9L9gG6fqXXIle1GB;https://api.spotify.com/v1/audio-analysis/57U0iv9L9gG6fqXXIle1GB;199867.0;4.0;;
(No One Knows Me) Like the Piano;3.636;False;2020-01-31T03:13:57Z;Process;2017-02-03;2WoVwexZuODvclzULjPQtm;0.621;0.199;10.0;-13.788;1.0;0.0344;0.976;0.00186;0.107;0.178;128.905;audio_features;5zOnoB8FdZudDcPX4O8WqF;spotify:track:5zOnoB8FdZudDcPX4O8WqF;https://api.spotify.com/v1/tracks/5zOnoB8FdZudDcPX4O8WqF;https://api.spotify.com/v1/audio-analysis/5zOnoB8FdZudDcPX4O8WqF;218160.0;4.0;;
Our Love;4.192;False;2020-01-31T03:01:17Z;The Story of Sonny Boy Slim;2015-09-11;01aC2ikO4Xgb2LUpf9JfKp;0.615;0.416;0.0;-7.606;0.0;0.024;0.334;0.011;0.0913;0.284;83.98;audio_features;5cfGJHxNcS1S2qyZj9xH6z;spotify:track:5cfGJHxNcS1S2qyZj9xH6z;https://api.spotify.com/v1/tracks/5cfGJHxNcS1S2qyZj9xH6z;https://api.spotify.com/v1/audio-analysis/5cfGJHxNcS1S2qyZj9xH6z;251520.0;3.0;;
One Last Song;3.2153666666666667;False;2020-01-31T02:59:20Z;The Thrill Of It All (Special Edition);2017-11-03;2wY79sveU1sp5g7SokKOiI;0.672;0.53;1.0;-6.43;1.0;0.0284;0.367;0.0;0.321;0.485;103.326;audio_features;01uk7IzZyFNfQTDBXxx6NB;spotify:track:01uk7IzZyFNfQTDBXxx6NB;https://api.spotify.com/v1/tracks/01uk7IzZyFNfQTDBXxx6NB;https://api.spotify.com/v1/audio-analysis/01uk7IzZyFNfQTDBXxx6NB;192922.0;3.0;;
I Don't Wanna Go;3.6145666666666667;False;2020-01-31T02:52:05Z;Ben.;2019-11-01;2dJTa3mUidZAO9sKcY72tK;0.688;0.809;4.0;-4.491;0.0;0.0511;0.00985;6.04e-05;0.327;0.854;116.957;audio_features;0y7yvR6sSM0dZQJKWy0JYP;spotify:track:0y7yvR6sSM0dZQJKWy0JYP;https://api.spotify.com/v1/tracks/0y7yvR6sSM0dZQJKWy0JYP;https://api.spotify.com/v1/audio-analysis/0y7yvR6sSM0dZQJKWy0JYP;216874.0;3.0;;
Next To You;3.5826333333333333;False;2020-01-31T02:52:01Z;Ben.;2019-11-01;2dJTa3mUidZAO9sKcY72tK;0.621;0.516;1.0;-9.808;1.0;0.139;0.464;0.00434;0.121;0.45;84.941;audio_features;2d0hNLA5i17OPIXojrIDHO;spotify:track:2d0hNLA5i17OPIXojrIDHO;https://api.spotify.com/v1/tracks/2d0hNLA5i17OPIXojrIDHO;https://api.spotify.com/v1/audio-analysis/2d0hNLA5i17OPIXojrIDHO;214958.0;4.0;;
Memory Digital;4.483766666666667;False;2020-01-30T17:50:47Z;Love's Last Chance;2019-08-16;0yLmsf6RBPYqm6hvFJCPg6,0N41KJ4H6bkPAm2tx7VS8C;0.779;0.579;5.0;-8.832;0.0;0.179;0.224;0.0334;0.162;0.721;97.984;audio_features;4Xhad6L2SxVBpVQ4vNhfu1;spotify:track:4Xhad6L2SxVBpVQ4vNhfu1;https://api.spotify.com/v1/tracks/4Xhad6L2SxVBpVQ4vNhfu1;https://api.spotify.com/v1/audio-analysis/4Xhad6L2SxVBpVQ4vNhfu1;269027.0;4.0;;
Expectations [Feat. Baby Rose, Rapsody, James Poyser];4.91555;True;2020-01-29T13:50:36Z;Fuck Yo Feelings;2019-10-03;5cM1PvItlR21WUyBnsdMcn,11Y7L6JWkZQkuNIZ8qSxQ0,6NL31G53xThQXkFs7lDpL5,0OoOBeRsejOlI6XucsBAXP;0.68;0.586;8.0;-4.924;1.0;0.245;0.0705;2.66e-06;0.167;0.314;92.949;audio_features;1H03NPKsTjpSQxF6aCPTfJ;spotify:track:1H03NPKsTjpSQxF6aCPTfJ;https://api.spotify.com/v1/tracks/1H03NPKsTjpSQxF6aCPTfJ;https://api.spotify.com/v1/audio-analysis/1H03NPKsTjpSQxF6aCPTfJ;294933.0;4.0;;
Gone [Feat. YBN Cordae, Bilal, Herbie Hancock];3.7410833333333335;True;2020-01-29T13:26:43Z;Fuck Yo Feelings;2019-10-03;5cM1PvItlR21WUyBnsdMcn,0huGjMyP507tBCARyzSkrv,4jCbgl5Dmt3uOh8WRQfpPs,2ZvrvbQNrHKwjT7qfGFFUW;0.799;0.923;2.0;-4.593;0.0;0.0558;0.341;0.0246;0.0692;0.692;93.004;audio_features;5Dc2XqowT9KluHHGTA8nIN;spotify:track:5Dc2XqowT9KluHHGTA8nIN;https://api.spotify.com/v1/tracks/5Dc2XqowT9KluHHGTA8nIN;https://api.spotify.com/v1/audio-analysis/5Dc2XqowT9KluHHGTA8nIN;224465.0;4.0;;
This Changes Everything [Feat. Buddy, Denzel Curry, Terrace Martin, James Poyser];4.2814;True;2020-01-29T13:22:59Z;Fuck Yo Feelings;2019-10-03;5cM1PvItlR21WUyBnsdMcn,6PDLwWvgYNMfBRLqC1h5cJ,6fxyWrfmjcbj5d12gXeiNV,7MNEVabc4cs19CbzAFZmXz,0OoOBeRsejOlI6XucsBAXP;0.55;0.85;3.0;-3.596;0.0;0.275;0.222;0.0;0.367;0.422;92.84;audio_features;5FcCKNBPFXsrxbhVlSXmRa;spotify:track:5FcCKNBPFXsrxbhVlSXmRa;https://api.spotify.com/v1/tracks/5FcCKNBPFXsrxbhVlSXmRa;https://api.spotify.com/v1/audio-analysis/5FcCKNBPFXsrxbhVlSXmRa;256885.0;4.0;;
Todo Cambia;4.323316666666667;False;2020-01-29T02:44:41Z;Corazón libre (International Version);2005-01-01;2HvyR5FsU37QMqVzIbGwl7,4ohvKWdqkkcnCiWo6qBcRk,4uk8EjGWEOC5OgpG3MRTCS;0.689;0.155;0.0;-13.68;1.0;0.0412;0.961;6.36e-05;0.131;0.457;108.773;audio_features;1jJ9m2T5L8R7gcqhPeARJb;spotify:track:1jJ9m2T5L8R7gcqhPeARJb;https://api.spotify.com/v1/tracks/1jJ9m2T5L8R7gcqhPeARJb;https://api.spotify.com/v1/audio-analysis/1jJ9m2T5L8R7gcqhPeARJb;259400.0;3.0;;
The Man In Me;3.10355;False;2020-01-28T17:26:13Z;New Morning;1970-10-21;74ASZWbe4lXaubB36ztrGX;0.419;0.517;8.0;-9.368;1.0;0.0284;0.532;0.0251;0.0785;0.905;145.109;audio_features;1IZ6aiIvErnmFbCllFZzx1;spotify:track:1IZ6aiIvErnmFbCllFZzx1;https://api.spotify.com/v1/tracks/1IZ6aiIvErnmFbCllFZzx1;https://api.spotify.com/v1/audio-analysis/1IZ6aiIvErnmFbCllFZzx1;186213.0;4.0;;
Ramblin' On My Mind;2.89;False;2020-01-28T15:59:18Z;King Of The Delta Blues Singers (Volume 2);1936;0f8MDDzIc6M4uH1xH0o0gy;0.692;0.214;10.0;-10.786;1.0;0.122;0.932;0.00304;0.124;0.259;101.161;audio_features;3ejmUOswTnkICTWkd8aPgA;spotify:track:3ejmUOswTnkICTWkd8aPgA;https://api.spotify.com/v1/tracks/3ejmUOswTnkICTWkd8aPgA;https://api.spotify.com/v1/audio-analysis/3ejmUOswTnkICTWkd8aPgA;173400.0;4.0;;
