name;durantion_ms;explicit;added_at;album;release_date;artist_id;audio_features.danceability;audio_features.energy;audio_features.key;audio_features.loudness;audio_features.mode;audio_features.speechiness;audio_features.acousticness;audio_features.instrumentalness;audio_features.liveness;audio_features.valence;audio_features.tempo;audio_features.type;audio_features.id;audio_features.uri;audio_features.track_href;audio_features.analysis_url;audio_features.duration_ms;audio_features.time_signature;audio_features.error.status;audio_features.error.message
Calls - Mr Porter Remix;4.131333333333333;False;2020-05-23T20:05:10Z;Porter Chops Glasper;2014-01-01;7vZ7qmfXiu114lY0qm7rOe,6AVLthptCPhfrxlHadOBJD,5DKuVtlpDH0agZQUFDy8O7,4NhyK1Uoo8ScQOSl8x0jqI;0.491;0.684;6.0;-7.559;1.0;0.316;0.281;7.74e-05;0.0609;0.638;166.277;audio_features;60SuXio4AIdlHafC7onlBI;spotify:track:60SuXio4AIdlHafC7onlBI;https://api.spotify.com/v1/tracks/60SuXio4AIdlHafC7onlBI;https://api.spotify.com/v1/audio-analysis/60SuXio4AIdlHafC7onlBI;247880.0;4.0;;
Tempestade;4.2431;False;2020-05-22T02:29:20Z;Chico Pinheiro;2005;5YfW24O2P3ljTAZjBRr4jy;0.396;0.424;9.0;-13.808;0.0;0.0368;0.916;0.0574;0.136;0.541;166.033;audio_features;1JrsgDxqfBzTJWgQqJF4T5;spotify:track:1JrsgDxqfBzTJWgQqJF4T5;https://api.spotify.com/v1/tracks/1JrsgDxqfBzTJWgQqJF4T5;https://api.spotify.com/v1/audio-analysis/1JrsgDxqfBzTJWgQqJF4T5;254587.0;5.0;;
Amen;3.6326666666666667;False;2020-05-20T04:03:03Z;What I'm Feelin';2016-03-25;2DzRMyWgjuMbYvt5BLbpCo;0.755;0.644;2.0;-6.176;1.0;0.136;0.145;0.0;0.208;0.257;119.908;audio_features;7xwdpeyi9hVyKlXFQ5PAqa;spotify:track:7xwdpeyi9hVyKlXFQ5PAqa;https://api.spotify.com/v1/tracks/7xwdpeyi9hVyKlXFQ5PAqa;https://api.spotify.com/v1/audio-analysis/7xwdpeyi9hVyKlXFQ5PAqa;217960.0;4.0;;
Turkey Taco;4.044983333333334;False;2020-05-19T16:46:01Z;Velvet Portraits;2016-04-01;7MNEVabc4cs19CbzAFZmXz,14J0HOWJMaeGAgETgx31Xi,0ZS8ggGhsmKeyF5GUL2RWg;0.7;0.55;6.0;-6.02;1.0;0.388;0.279;0.158;0.249;0.663;100.974;audio_features;0W7gacwZdstnsFelrKgUkO;spotify:track:0W7gacwZdstnsFelrKgUkO;https://api.spotify.com/v1/tracks/0W7gacwZdstnsFelrKgUkO;https://api.spotify.com/v1/audio-analysis/0W7gacwZdstnsFelrKgUkO;242700.0;4.0;;
For Free? - Interlude;2.18155;True;2020-05-19T16:29:49Z;To Pimp A Butterfly;2015-03-16;2YZyLoL8N0Wb9xBt1NhZWg;0.526;0.896;8.0;-4.708;1.0;0.197;0.588;0.0;0.37;0.745;129.313;audio_features;75izAeHlGuOgA865CFDyIv;spotify:track:75izAeHlGuOgA865CFDyIv;https://api.spotify.com/v1/tracks/75izAeHlGuOgA865CFDyIv;https://api.spotify.com/v1/audio-analysis/75izAeHlGuOgA865CFDyIv;130893.0;1.0;;
Interstellar Universe;6.387716666666667;False;2020-05-19T16:24:51Z;Astral Progressions;2016-10-07;5rQ9q5c4pQKwn3OmpKE6vA,6HQYnRM4OzToCYPpVBInuU;0.429;0.861;3.0;-5.079;0.0;0.0419;0.281;0.445;0.0849;0.436;154.894;audio_features;4BUWGLSKMNpWbi8Pcwu8Pu;spotify:track:4BUWGLSKMNpWbi8Pcwu8Pu;https://api.spotify.com/v1/tracks/4BUWGLSKMNpWbi8Pcwu8Pu;https://api.spotify.com/v1/audio-analysis/4BUWGLSKMNpWbi8Pcwu8Pu;383263.0;3.0;;
i;5.600216666666666;True;2020-05-19T16:10:56Z;To Pimp A Butterfly;2015-03-16;2YZyLoL8N0Wb9xBt1NhZWg;0.541;0.809;8.0;-4.286;1.0;0.324;0.708;0.0;0.72;0.753;120.094;audio_features;3ODXRUPL44f04cCacwiCLC;spotify:track:3ODXRUPL44f04cCacwiCLC;https://api.spotify.com/v1/tracks/3ODXRUPL44f04cCacwiCLC;https://api.spotify.com/v1/audio-analysis/3ODXRUPL44f04cCacwiCLC;336013.0;4.0;;
If;3.8571;True;2020-05-19T15:15:14Z;Presents Welcome To Tha Chuuch - Tha Album;2005-12-13;7hJcb9fa4alzcOq3EaNPoG;0.7;0.604;10.0;-6.076;0.0;0.079;0.576;0.0;0.54;0.482;105.971;audio_features;5MpbHaH0Pd0FhxdIqRGGzf;spotify:track:5MpbHaH0Pd0FhxdIqRGGzf;https://api.spotify.com/v1/tracks/5MpbHaH0Pd0FhxdIqRGGzf;https://api.spotify.com/v1/audio-analysis/5MpbHaH0Pd0FhxdIqRGGzf;231427.0;4.0;;
All I Ask;4.53;False;2020-05-15T19:14:17Z;25;2016-06-24;4dpARuHxo51G3z768sgnrY;0.587;0.283;4.0;-5.473;1.0;0.0279;0.882;0.0;0.149;0.343;141.961;audio_features;1wMALZpuqAy7amQsFBWQ8m;spotify:track:1wMALZpuqAy7amQsFBWQ8m;https://api.spotify.com/v1/tracks/1wMALZpuqAy7amQsFBWQ8m;https://api.spotify.com/v1/audio-analysis/1wMALZpuqAy7amQsFBWQ8m;271800.0;4.0;;
Doing It All Together;2.5868;False;2020-05-15T16:45:53Z;Doing It All Together;2020-05-15;5nLYd9ST4Cnwy6NHaCxbj8;0.54;0.758;2.0;-6.374;1.0;0.0328;0.014;0.0;0.158;0.688;121.836;audio_features;6Nra1eWnAtTSfDm6uy53iU;spotify:track:6Nra1eWnAtTSfDm6uy53iU;https://api.spotify.com/v1/tracks/6Nra1eWnAtTSfDm6uy53iU;https://api.spotify.com/v1/audio-analysis/6Nra1eWnAtTSfDm6uy53iU;155208.0;4.0;;
Issues;3.42455;True;2020-05-15T11:31:56Z;Impedance;2020-05-15;7MNEVabc4cs19CbzAFZmXz,0qeCnlpThKmwCQezKhnVQb;0.645;0.459;11.0;-7.834;1.0;0.0471;0.321;0.0;0.325;0.471;90.004;audio_features;2V2bh5BAhWCxPW7IPA4vvS;spotify:track:2V2bh5BAhWCxPW7IPA4vvS;https://api.spotify.com/v1/tracks/2V2bh5BAhWCxPW7IPA4vvS;https://api.spotify.com/v1/audio-analysis/2V2bh5BAhWCxPW7IPA4vvS;205474.0;4.0;;
Beige (feat. Arin Ray & Elena Pinderhughes);3.286216666666667;True;2020-05-15T11:28:47Z;Impedance;2020-05-15;7MNEVabc4cs19CbzAFZmXz,6TvjXbopXg71XRM9OZWqUc,1djeOKOhlMmpiF6gyGVUcu;0.773;0.578;8.0;-10.109;1.0;0.0866;0.297;0.00917;0.0607;0.556;170.039;audio_features;2dyACKRr8pnr8oLNnhgsUf;spotify:track:2dyACKRr8pnr8oLNnhgsUf;https://api.spotify.com/v1/tracks/2dyACKRr8pnr8oLNnhgsUf;https://api.spotify.com/v1/audio-analysis/2dyACKRr8pnr8oLNnhgsUf;197173.0;4.0;;
The Deuce (feat. The Martin Family Trio);3.574883333333333;False;2020-05-15T11:28:39Z;Impedance;2020-05-15;7MNEVabc4cs19CbzAFZmXz,1roKfaQXcSI7iXPK3s7hHJ;0.702;0.758;0.0;-6.431;1.0;0.0389;0.0934;0.847;0.18;0.938;137.265;audio_features;7JpQoyuTqjFambY5ij4xFC;spotify:track:7JpQoyuTqjFambY5ij4xFC;https://api.spotify.com/v1/tracks/7JpQoyuTqjFambY5ij4xFC;https://api.spotify.com/v1/audio-analysis/7JpQoyuTqjFambY5ij4xFC;214494.0;4.0;;
His Pain;5.483333333333333;False;2020-05-13T16:17:52Z;Pineapple Now-Laters;2012-02-21;07d5etnpjriczFBB8pxmRe;0.447;0.422;1.0;-11.076;0.0;0.167;0.872;5.6e-06;0.102;0.77;165.695;audio_features;2uujJLrRplaQMkEx8CybZ8;spotify:track:2uujJLrRplaQMkEx8CybZ8;https://api.spotify.com/v1/tracks/2uujJLrRplaQMkEx8CybZ8;https://api.spotify.com/v1/audio-analysis/2uujJLrRplaQMkEx8CybZ8;329000.0;4.0;;
Avinu Malkenu;5.118883333333334;False;2020-05-11T02:20:21Z;Avinu Malkenu (Nosso Pai, nosso Rei);2010-09-20;6AyvSIi2EyLOaMJCc6J5fZ;0.242;0.245;7.0;-11.357;1.0;0.0339;0.897;0.00502;0.11;0.113;126.873;audio_features;0JuViZ5sAEUk5GdAmXY2ju;spotify:track:0JuViZ5sAEUk5GdAmXY2ju;https://api.spotify.com/v1/tracks/0JuViZ5sAEUk5GdAmXY2ju;https://api.spotify.com/v1/audio-analysis/0JuViZ5sAEUk5GdAmXY2ju;307133.0;3.0;;
Wade in the Water;4.069333333333334;False;2020-05-11T02:16:26Z;African-American Folk Rhythms;1998-10-20;2AdaJlzNcOpdrvMSBN92Wp;0.486;0.262;2.0;-11.864;0.0;0.0381;0.83;0.0;0.16;0.329;128.764;audio_features;7exER11O6jaBmUWhOvWRGh;spotify:track:7exER11O6jaBmUWhOvWRGh;https://api.spotify.com/v1/tracks/7exER11O6jaBmUWhOvWRGh;https://api.spotify.com/v1/audio-analysis/7exER11O6jaBmUWhOvWRGh;244160.0;4.0;;
I've Got Dreams to Remember;3.2644333333333333;False;2020-05-09T20:40:03Z;Dock of the Bay Sessions;2018-05-18;60df5JBRRPcnSpsIMxxwQm;0.389;0.277;9.0;-13.15;1.0;0.0279;0.495;0.0;0.138;0.402;141.75;audio_features;4C2jxg2GZsvttTiHpWP5ZL;spotify:track:4C2jxg2GZsvttTiHpWP5ZL;https://api.spotify.com/v1/tracks/4C2jxg2GZsvttTiHpWP5ZL;https://api.spotify.com/v1/audio-analysis/4C2jxg2GZsvttTiHpWP5ZL;195867.0;3.0;;
Celestial Blues;3.3132333333333333;False;2020-05-09T16:03:53Z;Experience And Judgment;2003-05-26;6nnjKHTxPpJtw08NqB0gvJ;0.584;0.369;8.0;-10.748;0.0;0.119;0.687;1.62e-05;0.0749;0.41;145.909;audio_features;1QR3PGFme0LiPUEtmWxXm7;spotify:track:1QR3PGFme0LiPUEtmWxXm7;https://api.spotify.com/v1/tracks/1QR3PGFme0LiPUEtmWxXm7;https://api.spotify.com/v1/audio-analysis/1QR3PGFme0LiPUEtmWxXm7;198794.0;4.0;;
This Love Is Over;3.493333333333333;False;2020-05-09T16:02:32Z;God Willin' & The Creek Don't Rise;2010-08-13;6DoH7ywD5BcQvjloe9OcIj;0.658;0.273;10.0;-10.02;0.0;0.0309;0.729;0.000727;0.102;0.42;115.498;audio_features;1jO5kYMz6I9skWKu8Q9iS7;spotify:track:1jO5kYMz6I9skWKu8Q9iS7;https://api.spotify.com/v1/tracks/1jO5kYMz6I9skWKu8Q9iS7;https://api.spotify.com/v1/audio-analysis/1jO5kYMz6I9skWKu8Q9iS7;209600.0;4.0;;
a blooming bloodfruit in a hoodie;12.955766666666667;True;2020-05-08T14:59:12Z;Origami Harvest;2018-10-12;4ai53dgSBGhQwcFtGyY1bF;0.386;0.518;3.0;-9.895;1.0;0.0914;0.708;0.0147;0.194;0.0596;91.24;audio_features;3UR0Oa02msUT9s9hHSE9ya;spotify:track:3UR0Oa02msUT9s9hHSE9ya;https://api.spotify.com/v1/tracks/3UR0Oa02msUT9s9hHSE9ya;https://api.spotify.com/v1/audio-analysis/3UR0Oa02msUT9s9hHSE9ya;777347.0;4.0;;
Casio Vanguard;6.367333333333334;False;2020-05-08T14:52:34Z;Caipi;2017-03-10;253GMpCNwx1TJtASNAeDoP;0.51;0.743;1.0;-7.761;1.0;0.0295;0.438;0.285;0.0963;0.759;79.996;audio_features;6ROyn7gxHJMMJIn4L64Akn;spotify:track:6ROyn7gxHJMMJIn4L64Akn;https://api.spotify.com/v1/tracks/6ROyn7gxHJMMJIn4L64Akn;https://api.spotify.com/v1/audio-analysis/6ROyn7gxHJMMJIn4L64Akn;382040.0;4.0;;
Something Beautiful;3.6516333333333333;False;2020-05-07T22:59:47Z;The Monologue;2013-04-26;0AepkoQhYvkjEzzwIcGxdV;0.424;0.226;0.0;-9.096;1.0;0.0386;0.802;0.0;0.0826;0.332;81.409;audio_features;32sEFeCIpyTaEwnhWGrE1J;spotify:track:32sEFeCIpyTaEwnhWGrE1J;https://api.spotify.com/v1/tracks/32sEFeCIpyTaEwnhWGrE1J;https://api.spotify.com/v1/audio-analysis/32sEFeCIpyTaEwnhWGrE1J;219099.0;4.0;;
Choro Pro Zé;5.66;False;2020-05-07T17:15:31Z;Delírio Carioca;1993;5eTFGhsuJJrmwAF2ttmgOl;0.376;0.142;0.0;-13.95;0.0;0.0373;0.874;0.0306;0.164;0.287;177.326;audio_features;5vje5A2MdJcqj7FVvDs4Iz;spotify:track:5vje5A2MdJcqj7FVvDs4Iz;https://api.spotify.com/v1/tracks/5vje5A2MdJcqj7FVvDs4Iz;https://api.spotify.com/v1/audio-analysis/5vje5A2MdJcqj7FVvDs4Iz;339600.0;4.0;;
O Que Será de Ti;5.06755;False;2020-05-05T18:31:57Z;MARO, Vol. 1;2018-03-30;3NP4jJcW3R6qO6rbtnH0wn;0.555;0.516;9.0;-12.613;0.0;0.0362;0.622;0.00116;0.127;0.382;154.921;audio_features;6UuQk1XEvvCcVOSvSiRcyk;spotify:track:6UuQk1XEvvCcVOSvSiRcyk;https://api.spotify.com/v1/tracks/6UuQk1XEvvCcVOSvSiRcyk;https://api.spotify.com/v1/audio-analysis/6UuQk1XEvvCcVOSvSiRcyk;304053.0;3.0;;
Venus As A Boy;4.709333333333333;False;2020-05-05T03:31:16Z;Debut;1993-07-05;7w29UYBi0qsHi5RTcv3lmA;0.619;0.401;1.0;-11.746;1.0;0.0339;0.0297;0.00355;0.0701;0.815;136.21;audio_features;0NNgY2gc1TUwBQoVp98Fxw;spotify:track:0NNgY2gc1TUwBQoVp98Fxw;https://api.spotify.com/v1/tracks/0NNgY2gc1TUwBQoVp98Fxw;https://api.spotify.com/v1/audio-analysis/0NNgY2gc1TUwBQoVp98Fxw;282560.0;4.0;;
Avião de Papel;5.2424333333333335;False;2020-05-05T02:59:35Z;MARO, Vol. 1;2018-03-30;3NP4jJcW3R6qO6rbtnH0wn;0.492;0.228;0.0;-14.785;1.0;0.0379;0.84;1.53e-06;0.0675;0.104;139.903;audio_features;4hdyzn759MxTLoE9AuzsLZ;spotify:track:4hdyzn759MxTLoE9AuzsLZ;https://api.spotify.com/v1/tracks/4hdyzn759MxTLoE9AuzsLZ;https://api.spotify.com/v1/audio-analysis/4hdyzn759MxTLoE9AuzsLZ;314547.0;4.0;;
Não Faz Sentido;4.29155;False;2020-05-03T04:05:05Z;MARO, Vol. 1;2018-03-30;3NP4jJcW3R6qO6rbtnH0wn;0.635;0.394;6.0;-11.976;1.0;0.0493;0.786;1e-06;0.127;0.708;147.801;audio_features;1oqW7ZtM1shGumLJzTJsv3;spotify:track:1oqW7ZtM1shGumLJzTJsv3;https://api.spotify.com/v1/tracks/1oqW7ZtM1shGumLJzTJsv3;https://api.spotify.com/v1/audio-analysis/1oqW7ZtM1shGumLJzTJsv3;257493.0;4.0;;
Shorty (Got Her Eyes on Me);3.20555;False;2020-05-02T04:57:01Z;Where I Wanna Be;1999-05-29;5KNqYrivNgVCHBssEUSu5B;0.663;0.544;2.0;-8.571;0.0;0.0649;0.0979;0.0;0.307;0.648;161.577;audio_features;7x5ayrIxbFqXoufyPrAm3M;spotify:track:7x5ayrIxbFqXoufyPrAm3M;https://api.spotify.com/v1/tracks/7x5ayrIxbFqXoufyPrAm3M;https://api.spotify.com/v1/audio-analysis/7x5ayrIxbFqXoufyPrAm3M;192333.0;4.0;;
Whoknows;4.922;False;2020-05-02T04:46:22Z;Soulstar;2003-12-09;3UVRliakQfa1pMWIsNuiZ8;0.407;0.678;2.0;-6.135;1.0;0.104;0.19;0.0;0.342;0.297;117.555;audio_features;52Jhpa2NaTqVV11dDUAoMI;spotify:track:52Jhpa2NaTqVV11dDUAoMI;https://api.spotify.com/v1/tracks/52Jhpa2NaTqVV11dDUAoMI;https://api.spotify.com/v1/audio-analysis/52Jhpa2NaTqVV11dDUAoMI;295320.0;4.0;;
Dontchange - Album Version (Edited);5.073766666666667;False;2020-05-02T04:41:09Z;Juslisen;2002-01-01;3UVRliakQfa1pMWIsNuiZ8;0.58;0.526;6.0;-6.664;0.0;0.0313;0.221;0.0;0.0959;0.2;101.89;audio_features;3DkaXDmC0qaFNAxgLMuwX4;spotify:track:3DkaXDmC0qaFNAxgLMuwX4;https://api.spotify.com/v1/tracks/3DkaXDmC0qaFNAxgLMuwX4;https://api.spotify.com/v1/audio-analysis/3DkaXDmC0qaFNAxgLMuwX4;304427.0;4.0;;
I Said I Love You;4.08955;False;2020-05-02T04:33:21Z;The Day;1996-10-29;3aVoqlJOYx31lH1gibGDt3;0.654;0.394;3.0;-10.575;1.0;0.0282;0.417;1.19e-05;0.134;0.192;119.911;audio_features;6Ps0inhZSAaud5n3ve6IfN;spotify:track:6Ps0inhZSAaud5n3ve6IfN;https://api.spotify.com/v1/tracks/6Ps0inhZSAaud5n3ve6IfN;https://api.spotify.com/v1/audio-analysis/6Ps0inhZSAaud5n3ve6IfN;245373.0;4.0;;
When Can I See You;3.8266666666666667;False;2020-05-02T04:28:07Z;For The Cool In You;1993-08-24;3aVoqlJOYx31lH1gibGDt3;0.754;0.472;8.0;-11.787;1.0;0.0807;0.257;2.09e-05;0.121;0.613;169.199;audio_features;4cWnIYyXtv2W3HdrzmWaDQ;spotify:track:4cWnIYyXtv2W3HdrzmWaDQ;https://api.spotify.com/v1/tracks/4cWnIYyXtv2W3HdrzmWaDQ;https://api.spotify.com/v1/audio-analysis/4cWnIYyXtv2W3HdrzmWaDQ;229600.0;4.0;;
Other Side Of The Game;6.562216666666667;False;2020-05-02T04:27:09Z;Baduizm;1997-01-01;7IfculRW2WXyzNQ8djX8WX;0.657;0.253;11.0;-10.665;1.0;0.0855;0.433;0.514;0.116;0.186;83.213;audio_features;6s4xndGKUhW0xXPYvFlwcL;spotify:track:6s4xndGKUhW0xXPYvFlwcL;https://api.spotify.com/v1/tracks/6s4xndGKUhW0xXPYvFlwcL;https://api.spotify.com/v1/audio-analysis/6s4xndGKUhW0xXPYvFlwcL;393733.0;4.0;;
The Last Time;3.6933333333333334;False;2020-05-02T04:23:37Z;Hurricane;2005;1kjO72M26jZkv0aaGxJaov;0.378;0.35;8.0;-7.424;1.0;0.0342;0.765;0.0;0.125;0.143;85.224;audio_features;205i1h5IucbkofkL0wT50l;spotify:track:205i1h5IucbkofkL0wT50l;https://api.spotify.com/v1/tracks/205i1h5IucbkofkL0wT50l;https://api.spotify.com/v1/audio-analysis/205i1h5IucbkofkL0wT50l;221600.0;4.0;;
