id;artist_name;artist_popularity;artist_followers;artist_genres
1anyVhU62p31KFi8MEzkbf;Chance the Rapper;84;4808150;chicago rap,conscious hip hop,hip hop,pop rap,rap
1b8kpp4DUwt1hWaxTiWQhD;Gal Costa;63;341986;baile pop,bossa nova,forro,mpb,samba
1bdAJUX6JPsnYHbTl5jbk6;Joan Armatrading;54;139505;folk,folk rock,lilith,mellow gold,new wave pop,singer-songwriter,traditional folk
1bgyxtWjZwA5PQlDsvs9b8;Sarah Vaughan;57;401998;adult standards,bebop,cool jazz,jazz,lounge,soul,swing,torch song,vocal jazz
1c4rxrxy8eDLvMVL1DTiBe;Andra Day;66;281088;r&b
1cPLFQV7MAWQiaDW5SlUMR;Chantae Cann;38;7688;neo r&b
1dfeR4HaWDbWqFHLkxsg1d;Queen;90;25926576;glam rock,rock
1djeOKOhlMmpiF6gyGVUcu;Elena Pinderhughes;41;1934;
1dp5YyefJVa9mkiqa3s50O;Alfredo Rodriguez;38;29048;jazz cubano,latin jazz
1dyGPAYZZHHW6WIqwKN5QF;Chris Thile;57;77439;bluegrass,classical mandolin,indie folk,instrumental bluegrass,mandolin,progressive bluegrass
1evO4fwLsEkkPGq32dCix7;Aaron Taylor;51;32694;alternative r&b,funk,indie jazz,indie r&b,indie soul,neo r&b,soul,uk contemporary r&b
1gIa65d5ICT2xVWiUJ3u27;Tom Zé;52;158063;baile pop,bossa nova,brazilian indie,mpb,musica popular paraense,nova mpb,samba,velha guarda
1gPY6jETlC02stpXOUmSBH;Branford Marsalis;44;38708;bebop,contemporary post-bop,jazz,jazz saxophone,new orleans jazz
1gbXoccc8bjK8eUh92mILy;Buika;54;193194;flamenco
1h2OVSKRdJHnVqyCKqCLkf;?uestlove;35;19749;philly rap
1jonOyRkfkvgd1MUyZtPgj;Alain Caron;31;18424;electric bass,jazz funk,jazz fusion
1jvBVqm4g5Jk8tEmKoYoes;Derrick Hodge;33;9425;neo r&b
1kjO72M26jZkv0aaGxJaov;Eric Benét;55;397752;neo soul,new jack swing,quiet storm,r&b,urban contemporary
1lGt9WgdYGpMnmwGkcCm05;Stanley Clarke;49;83576;electric bass,jazz funk,jazz fusion
1lSrPAosN2VxRO8FhWZ4Jf;Leon Silva;5;2;
1mCHLu4gizrN9PwHxKrJv4;Dominguinhos;52;163947;accordion,baiao,bossa nova,choro,forro,forro tradicional,mpb,pagode,samba,velha guarda
1mZbRiSVb2ExneAlDbBiiT;Lô Borges;51;75797;bossa nova,forro,mpb,samba
1nDqTUspmq8IXhcEZT93iq;Lee Ritenour;51;98033;jazz funk,jazz fusion,jazz guitar,smooth jazz,yacht rock
1ooV8YZC1KbpEcrmI8WH0F;Yebba;69;101622;
1rEOKV6rPetgIU8LroZjAa;Danny Swain Okayplayer;0;1;
1rm6MdPOklmrD3GKevqnt5;Underground Orchestra;13;200;
1roKfaQXcSI7iXPK3s7hHJ;The Martin Family Trio;30;48;
1tP3R35TdPW8BMwmTPOoVZ;Arthur Verocai;44;20175;bossa nova,brazilian jazz,brazilian psychedelic,jazz funk,mpb
1tekMsNLWuWVP0BtAw18c8;Jaimeo Brown Transcendence;12;2373;
1txWOvvuItlRlkB4rM0cUK;Return To Forever;41;54289;art rock,canterbury scene,jazz funk,jazz fusion,progressive rock,symphonic rock
1uLk9teQumztDMDlIv4jwS;Jacob Do Bandolim;35;25010;bossa nova,brazilian composition,choro,forro,samba,velha guarda,violao
1uiEZYehlNivdK3iQyAbye;Tom Misch;76;662727;indie soul
1v1OQb42mLMk1qT3wyiNEu;The Jolly Boys;33;13468;calypso,mento
1wUmdemiR9Dxw8A2el365A;Stalley;48;125165;alternative hip hop,soul flow,underground hip hop
1xU878Z1QtBldR7ru9owdU;Phoenix;68;1575339;alternative dance,dance-punk,indie pop,indie rock,indietronica,modern rock,new rave
1yNOfXGQNGjAynk77wv85x;John Lee Hooker;59;515543;blues,blues rock,classic rock,delta blues,electric blues,memphis blues,soul,traditional blues
1ySUvbTVNE9pyhdzcDxjg4;Iman Omari;55;38189;alternative r&b,indie r&b,neo r&b
1zZjt7cDeeJSLWZYK34r7W;Luiz Melodia;52;239417;bossa nova,brazilian indie,choro,forro,mpb,musica popular paraense,pagode,samba,velha guarda
1ztbuuZdlymbE7XnHlj0nP;Rosa Passos;46;32418;bossa nova,mpb
20ZzK04IeD9EcQE12i2uRa;"Kevin ""K.D."" Davis";50;145;
20qISvAhX20dpIbOOzGK3q;Nas;76;1908260;conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap
20wkVLutqVOYrc0kxFs7rA;Daniel Caesar;80;1946545;canadian contemporary r&b,pop
21SOnTj5ECwVXeBUTRcP3s;Cory Henry;44;91105;jazz organ,retro soul
22KzEvCtrTGf9l6k7zFcdv;Aaron Parks;42;23683;contemporary jazz,contemporary post-bop,ecm-style jazz,indie jazz,jazz fusion,jazz piano,modern jazz piano,uk contemporary jazz
22bE4uQ6baNwSHPVcDxLCe;The Rolling Stones;83;8606400;album rock,british invasion,classic rock,protopunk,rock
23E2hrdvZnKUYpNZRIxhjx;Cassiano;39;25230;brazilian boogie,brazilian hip hop,brazilian soul,mpb,samba
24ZP6P1JgCo65CEJsk2OQ2;Miúcha;48;26193;bossa nova,mpb,samba,velha guarda
